(76, 972, -1220)
(-192, 584, -732)
(-180, 424, -980)
(-40, 556, -908)
(-72, 596, -852)
(-92, 592, -880)
(-84, 576, -884)
(-72, 572, -892)
(-116, 532, -892)
(-120, 588, -864)
(-112, 568, -860)
(-128, 592, -888)
(-136, 600, -884)
(-128, 536, -992)
(-152, 568, -928)
(-172, 556, -860)
(-172, 572, -876)
(-280, 600, -920)
(-180, 564, -936)
(-204, 584, -836)
(-260, 636, -804)
(-284, 664, -824)
(-260, 676, -832)
(-252, 704, -788)
(-272, 764, -688)
(-248, 768, -644)
(-272, 796, -600)
(-304, 824, -576)
(-312, 844, -548)
(-324, 848, -508)
(-276, 844, -452)
(-304, 908, -384)
(-340, 944, -348)
(-376, 968, -296)
(-384, 968, -256)
(-400, 968, -204)
(-412, 992, -164)
(-440, 988, -96)
(-452, 1000, -52)
(-420, 976, -32)
(-412, 968, 0)
(-448, 968, -32)
(-448, 976, 16)
(-464, 968, 40)
(-444, 960, -8)
(-476, 944, 64)
(-512, 888, 72)
(-520, 884, 0)
(-624, 968, -144)
(-540, 900, -160)
(-524, 868, -256)
(-568, 860, -308)
(-580, 876, -392)
(-488, 848, -520)
(-496, 840, -528)
(-480, 796, -528)
(-492, 788, -628)
(-420, 764, -636)
(-432, 744, -628)
(-388, 712, -684)
(-392, 704, -780)
(-392, 660, -744)
(-376, 652, -792)
(-396, 652, -800)
(-400, 624, -768)
(-396, 624, -792)
(-444, 612, -716)
(-492, 612, -752)
(-456, 600, -860)
(-480, 600, -852)
(-472, 564, -828)
(-496, 584, -832)
(-468, 580, -832)
(-496, 604, -768)
(-488, 588, -740)
(-508, 632, -704)
(-540, 684, -712)
(-496, 648, -724)
(-564, 644, -656)
(-568, 632, -664)
(-548, 640, -664)
(-600, 640, -660)
(-652, 672, -632)
(-680, 684, -584)
(-668, 744, -536)
(-664, 772, -544)
(-572, 776, -460)
(-568, 808, -368)
(-536, 812, -316)
(-532, 872, -324)
(-516, 896, -316)
(-488, 912, -240)
(-500, 928, -184)
(-488, 940, -148)
(-500, 948, -104)
(-488, 956, -92)
(-508, 964, -48)
(-496, 944, 20)
(-464, 944, 44)
(-492, 944, 64)
